pair_id,patch_id,cloudy_filename,noncloudy_filename,row,col,patch_size,stride,cloudy_valid_pct,noncloudy_valid_pct
Bhopal1,Bhopal1_patch_00001,Bhopal1_patch_00001.png,Bhopal1_patch_00001.png,3456,10752,256,128,100,100
Bhopal1,Bhopal1_patch_00002,Bhopal1_patch_00002.png,Bhopal1_patch_00002.png,10752,3456,256,128,100,100
Bhopal1,Bhopal1_patch_00003,Bhopal1_patch_00003.png,Bhopal1_patch_00003.png,2560,8320,256,128,100,100
Bhopal1,Bhopal1_patch_00004,Bhopal1_patch_00004.png,Bhopal1_patch_00004.png,15488,7296,256,128,100,100
Bhopal1,Bhopal1_patch_00005,Bhopal1_patch_00005.png,Bhopal1_patch_00005.png,1792,10752,256,128,100,100
Bhopal1,Bhopal1_patch_00006,Bhopal1_patch_00006.png,Bhopal1_patch_00006.png,9472,10880,256,128,100,100
Bhopal1,Bhopal1_patch_00007,Bhopal1_patch_00007.png,Bhopal1_patch_00007.png,2816,13568,256,128,100,100
Bhopal1,Bhopal1_patch_00008,Bhopal1_patch_00008.png,Bhopal1_patch_00008.png,2944,7168,256,128,100,100
Bhopal1,Bhopal1_patch_00009,Bhopal1_patch_00009.png,Bhopal1_patch_00009.png,1664,15104,256,128,100,100
Bhopal1,Bhopal1_patch_00010,Bhopal1_patch_00010.png,Bhopal1_patch_00010.png,2304,3968,256,128,100,100
Bhopal1,Bhopal1_patch_00011,Bhopal1_patch_00011.png,Bhopal1_patch_00011.png,2688,11008,256,128,100,100
Bhopal1,Bhopal1_patch_00012,Bhopal1_patch_00012.png,Bhopal1_patch_00012.png,14720,11776,256,128,100,100
Bhopal1,Bhopal1_patch_00013,Bhopal1_patch_00013.png,Bhopal1_patch_00013.png,5632,7936,256,128,100,100
Bhopal1,Bhopal1_patch_00014,Bhopal1_patch_00014.png,Bhopal1_patch_00014.png,12416,5248,256,128,100,100
Bhopal1,Bhopal1_patch_00015,Bhopal1_patch_00015.png,Bhopal1_patch_00015.png,12416,2688,256,128,100,100
Bhopal1,Bhopal1_patch_00016,Bhopal1_patch_00016.png,Bhopal1_patch_00016.png,14464,8064,256,128,100,100
Bhopal1,Bhopal1_patch_00017,Bhopal1_patch_00017.png,Bhopal1_patch_00017.png,3968,10112,256,128,100,100
Bhopal1,Bhopal1_patch_00018,Bhopal1_patch_00018.png,Bhopal1_patch_00018.png,3072,15232,256,128,100,100
Bhopal1,Bhopal1_patch_00019,Bhopal1_patch_00019.png,Bhopal1_patch_00019.png,11392,14592,256,128,100,100
Bhopal1,Bhopal1_patch_00020,Bhopal1_patch_00020.png,Bhopal1_patch_00020.png,6656,3840,256,128,100,100
Bhopal1,Bhopal1_patch_00021,Bhopal1_patch_00021.png,Bhopal1_patch_00021.png,384,12032,256,128,100,100
Bhopal1,Bhopal1_patch_00022,Bhopal1_patch_00022.png,Bhopal1_patch_00022.png,3328,9344,256,128,100,100
Bhopal1,Bhopal1_patch_00023,Bhopal1_patch_00023.png,Bhopal1_patch_00023.png,7168,12800,256,128,100,100
Bhopal1,Bhopal1_patch_00024,Bhopal1_patch_00024.png,Bhopal1_patch_00024.png,1664,7296,256,128,100,100
Bhopal1,Bhopal1_patch_00025,Bhopal1_patch_00025.png,Bhopal1_patch_00025.png,0,13952,256,128,100,100
Bhopal1,Bhopal1_patch_00026,Bhopal1_patch_00026.png,Bhopal1_patch_00026.png,8704,5760,256,128,100,100
Bhopal1,Bhopal1_patch_00027,Bhopal1_patch_00027.png,Bhopal1_patch_00027.png,10496,1536,256,128,100,100
Bhopal1,Bhopal1_patch_00028,Bhopal1_patch_00028.png,Bhopal1_patch_00028.png,16000,13184,256,128,100,100
Bhopal1,Bhopal1_patch_00029,Bhopal1_patch_00029.png,Bhopal1_patch_00029.png,12416,1408,256,128,100,100
Bhopal1,Bhopal1_patch_00030,Bhopal1_patch_00030.png,Bhopal1_patch_00030.png,256,12928,256,128,100,100
Bhopal1,Bhopal1_patch_00031,Bhopal1_patch_00031.png,Bhopal1_patch_00031.png,13952,1408,256,128,100,100
Bhopal1,Bhopal1_patch_00032,Bhopal1_patch_00032.png,Bhopal1_patch_00032.png,9856,7552,256,128,100,100
Bhopal1,Bhopal1_patch_00033,Bhopal1_patch_00033.png,Bhopal1_patch_00033.png,2688,8448,256,128,100,100
Bhopal1,Bhopal1_patch_00034,Bhopal1_patch_00034.png,Bhopal1_patch_00034.png,1664,7808,256,128,100,100
Bhopal1,Bhopal1_patch_00035,Bhopal1_patch_00035.png,Bhopal1_patch_00035.png,10368,10624,256,128,100,100
Bhopal1,Bhopal1_patch_00036,Bhopal1_patch_00036.png,Bhopal1_patch_00036.png,10880,12928,256,128,100,100
Bhopal1,Bhopal1_patch_00037,Bhopal1_patch_00037.png,Bhopal1_patch_00037.png,6400,8832,256,128,100,100
Bhopal1,Bhopal1_patch_00038,Bhopal1_patch_00038.png,Bhopal1_patch_00038.png,15744,8960,256,128,100,100
Bhopal1,Bhopal1_patch_00039,Bhopal1_patch_00039.png,Bhopal1_patch_00039.png,7808,12032,256,128,100,100
Bhopal1,Bhopal1_patch_00040,Bhopal1_patch_00040.png,Bhopal1_patch_00040.png,14720,10624,256,128,100,100
Bhopal1,Bhopal1_patch_00041,Bhopal1_patch_00041.png,Bhopal1_patch_00041.png,6016,14080,256,128,100,100
Bhopal1,Bhopal1_patch_00042,Bhopal1_patch_00042.png,Bhopal1_patch_00042.png,9088,8192,256,128,100,100
Bhopal1,Bhopal1_patch_00043,Bhopal1_patch_00043.png,Bhopal1_patch_00043.png,5248,13312,256,128,100,100
Bhopal1,Bhopal1_patch_00044,Bhopal1_patch_00044.png,Bhopal1_patch_00044.png,7552,13696,256,128,100,100
Bhopal1,Bhopal1_patch_00045,Bhopal1_patch_00045.png,Bhopal1_patch_00045.png,9728,3840,256,128,100,100
Bhopal1,Bhopal1_patch_00046,Bhopal1_patch_00046.png,Bhopal1_patch_00046.png,13696,6272,256,128,100,100
Bhopal1,Bhopal1_patch_00047,Bhopal1_patch_00047.png,Bhopal1_patch_00047.png,1024,11392,256,128,100,100
Bhopal1,Bhopal1_patch_00048,Bhopal1_patch_00048.png,Bhopal1_patch_00048.png,10496,8576,256,128,100,100
Bhopal1,Bhopal1_patch_00049,Bhopal1_patch_00049.png,Bhopal1_patch_00049.png,7168,2560,256,128,100,100
Bhopal1,Bhopal1_patch_00050,Bhopal1_patch_00050.png,Bhopal1_patch_00050.png,4864,14208,256,128,100,100
Bhopal1,Bhopal1_patch_00051,Bhopal1_patch_00051.png,Bhopal1_patch_00051.png,9344,2944,256,128,100,100
